mother,daughter
59.7,55.1
58.2,56.5
60.6,56
60.7,56.8
61.8,56
55.5,57.9
55.4,57.1
56.8,57.6
57.5,57.2
57.3,57.1
58.5,57.6
59.7,57.1
59,57.7
60.4,57.5
60.2,57.1
60.3,57.9
61.9,57.9
62.3,57.8
63,57.2
64.6,57.6
56.8,58
56.9,58.7
57.9,58
57.3,58.8
58.8,58
58.4,58
59.3,58.6
59.3,58.9
59,58.8
59.7,58.3
59.5,58.7
60.4,58.9
60.3,58.1
66.2,58.8
57,59.6
57.8,59.2
57.8,59.9
57,59.9
58.6,59.3
58.4,59.3
58,59.4
58.7,59.4
58.7,59.1
58.1,59.8
59.7,59.7
59,59.6
59.2,59
59.3,59.9
59.8,59.1
59.7,59.5
59.6,59.7
59.3,59
59.3,59.7
59.4,59.4
59.8,59.6
59.8,59.3
60.4,59
60.9,59
60.2,59.7
60.5,59.9
60,59
60.6,59.3
60.7,59.3
60.8,59
60,59.3
60.6,59.4
60.1,59.2
61.3,59.4
61.9,59.6
61.1,59.1
61,59.6
61.6,59.4
61.6,59.4
61.5,59.8
61.3,59.4
61.3,59.1
62.5,59.5
62.7,59.7
62,59.8
63.1,59
63.4,59.9
64,59.2
66.7,59.6
56.2,60.4
56.1,60.6
56.8,60.6
57.8,60.2
57.9,60.9
57.7,60.6
57.2,60.6
57.1,60.2
58.4,60.6
58.9,60.5
58.7,60.6
58,60.5
58.8,60.3
58.4,60.9
58,60.4
58.9,60.6
